ResourceID,RENO,RENO_TYPE,SITE_NAME,NAME_TYPE,RETYPE_Valueid,SITECODE,SITECODE_TYPE,DESCRIPTION,DESCRIPTION_TYPE,REEDATE,REEDATE_TYPE,REEDATEPREC_Valueid,RELDATE,RELDATE_TYPE,RELDATEPREC_Valueid,NGRPREC_Valueid,WKT
00000000-0000-0000-0000-0000000lhde1,1,838a206c-7975-4695-a2ae-1575b1e07984,"Quorn Drive",81dd62d2-6701-4195-b74b-8057456bba4b,4298586a-89fd-4475-8d4a-942763180c19,qd94,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1994-10-04,af8e248f-28c9-4c97-b57b-add942b8e009,b8b074ba-8899-4ae3-9017-aab1342ab3cc,1995-03-02,2195c931-95b0-4c91-9a1d-7607d56d1377,b8b074ba-8899-4ae3-9017-aab1342ab3cc,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.557057484637481 53.215884212984946)
00000000-0000-0000-0000-0000000lhde1,,,,,,,,"Archaeological monitoring and recording (watching brief) during laying of water main pipes. Modern limestone hardcore bedding for the road surface lay directly on natural sand. No archaeological deposits were found.",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-0000000lhde2,2,838a206c-7975-4695-a2ae-1575b1e07984,"High Street/Peel Street junction",81dd62d2-6701-4195-b74b-8057456bba4b,4298586a-89fd-4475-8d4a-942763180c19,hsc94,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1994-09-10,af8e248f-28c9-4c97-b57b-add942b8e009,b8b074ba-8899-4ae3-9017-aab1342ab3cc,1994-09-23,2195c931-95b0-4c91-9a1d-7607d56d1377,b8b074ba-8899-4ae3-9017-aab1342ab3cc,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.545328501346881 53.219490314071997)
00000000-0000-0000-0000-0000000lhde2,,,,,,,,"Archaeological monitoring and recording (watching brief) of groundworks for a residential development, Lancaster Court.  No structures were found, but medieval or early post medieval levels were encountered at a shallow depth. The 1882 Avoiding Line embankment and railway bridge abutment had destroyed deposits on the southern and eastern sides of the excavated area, leaving  areas north and east of the slab to be investigated.",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-0000000lhde3,3,838a206c-7975-4695-a2ae-1575b1e07984,"Lincoln City Football Club - new stand",81dd62d2-6701-4195-b74b-8057456bba4b,4298586a-89fd-4475-8d4a-942763180c19,cfc94,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1994-09-15,af8e248f-28c9-4c97-b57b-add942b8e009,b8b074ba-8899-4ae3-9017-aab1342ab3cc,1994-10-17,2195c931-95b0-4c91-9a1d-7607d56d1377,b8b074ba-8899-4ae3-9017-aab1342ab3cc,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.541562344573007 53.218365529229303)
00000000-0000-0000-0000-0000000lhde3,,,,,,,,"Archaeological monitoring and recording (watching brief) site.",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-0000000lhde4,4,838a206c-7975-4695-a2ae-1575b1e07984,"Hercocks banana warehouse",81dd62d2-6701-4195-b74b-8057456bba4b,1d5d5732-f58c-4e24-8ef8-b1e0e087d1b1,ba93,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1993-05-10,af8e248f-28c9-4c97-b57b-add942b8e009,b8b074ba-8899-4ae3-9017-aab1342ab3cc,1993-05-10,2195c931-95b0-4c91-9a1d-7607d56d1377,b8b074ba-8899-4ae3-9017-aab1342ab3cc,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.542863916624948 53.228117235519782)
00000000-0000-0000-0000-0000000lhde4,,,,,,,,"Photographic survey of former Hercocks banana warehouse prior to demolition",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
00000000-0000-0000-0000-0000000lhde5,5,838a206c-7975-4695-a2ae-1575b1e07984,"5-6 High Street. Rylatts betting shop",81dd62d2-6701-4195-b74b-8057456bba4b,4298586a-89fd-4475-8d4a-942763180c19,hsb94,70164ed3-db25-446d-9282-b7fcf6cb4838,,,1994-01-26,af8e248f-28c9-4c97-b57b-add942b8e009,b8b074ba-8899-4ae3-9017-aab1342ab3cc,1994-01-26,2195c931-95b0-4c91-9a1d-7607d56d1377,b8b074ba-8899-4ae3-9017-aab1342ab3cc,f1985c76-a102-4644-9ac5-558a02b91ea7,POINT (-0.546291892777016 53.215366829676164)
00000000-0000-0000-0000-0000000lhde5,,,,,,,,"Archaeological monitoring and recording (watching brief)",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
