ResourceID,SOURCENO,SOURCENO_TYPE,TYPE_Valueid,AUTHOR,TITLE,TITLE_TYPE,PUBLICATION_PLACE,Date,EDITOR,PUBLISHER,JOURNAL_SERIES_NAME,PAGES,SERIES_NO
00000000-0000-0000-0000-000000lhds19,19,838a206c-7975-4695-a2ae-1575b1e07984,262ed470-bf1e-411e-96cc-744326ca764c,"Aird, P. M.","Palaeobiological Investigations: On distinguishing butchery from other post-mortem destruction: a methodological experiment applied to a faunal sample from Roman Lincoln",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,,1985,"Fieller, N. R. J., Gilbertson, D. D. and Ralph, N. G. A.","British Archaeological Reports","British Archaeological Reports International Series","5-18","266"
00000000-0000-0000-0000-000000lhds36,36,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Baysal, Adnan","Lincoln Archaeology 1992-1993: The Mint Wall",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1993,"Jones, Michael J.","City of Lincoln Archaeology Unit","Annual Report of City of Lincoln Archaeology Unit","32-3","5"
00000000-0000-0000-0000-000000lhds39,39,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Blackburn, M. A. S. and Dolley, M.","Archaeology in Lincoln 1981-1982: Two Scandinavian coins found in Lincoln",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1982,"Nurser, E.","Lincoln Archaeological Trust","Annual Report Lincoln Archaeological Trust","33-5","10"
00000000-0000-0000-0000-000000lhds40,40,838a206c-7975-4695-a2ae-1575b1e07984,b01ca8a5-f56d-44f4-a969-cf62847fc6e5,"Blackburn, Mark","Pre-Viking Lindsey: Coin Finds and Coin Circulation in Lindsey, c 600-900",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1993,"Vince, Alan","City of Lincoln Archaeology Unit","Lincoln Archaeological Studies","80-90","1"
00000000-0000-0000-0000-000000lhds45,45,838a206c-7975-4695-a2ae-1575b1e07984,262ed470-bf1e-411e-96cc-744326ca764c,"Blagg, T. F. C.","Structural Reconstruction: Approaches to the Interpretation of the Excavated Remains of Buildings: Reconstructions of Roman decorated architecture: proportions, prescriptions, and practice",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Oxford",1982,"Drury, P. J.","British Archaeological Reports","British Archaeological Reports British Series","131-61","110"
00000000-0000-0000-0000-000000lhds46,46,838a206c-7975-4695-a2ae-1575b1e07984,262ed470-bf1e-411e-96cc-744326ca764c,"Blagg, T. F. C.","Roman Life and Art in Britain: Schools of stonemasons in Roman Britain",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Oxford",1977,"Henig, M. & Munby, J.","British Archaeological Reports","British Archaeological Reports British Series","51-70","41"
00000000-0000-0000-0000-000000lhds49,49,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Brann, Martin","Lincoln Archaeology 1991-1992: Bishops Old Palace, Lincoln",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1992,"Jones, Michael J.","City of Lincoln Archaeology Unit","Annual Report of City of Lincoln Archaeology Unit","28-9","4"
00000000-0000-0000-0000-000000lhds50,50,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Brann, Martin","Lincoln Archaeology 1991-1992: Lincoln Cathedral, West Front",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1992,"Jones, Michael J.","City of Lincoln Archaeology Unit","Annual Report of City of Lincoln Archaeology Unit","30-1","4"
00000000-0000-0000-0000-000000lhds51,51,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Brann, Martin","Lincoln Archaeology 1992-1993: Bishops Old Palace",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Lincoln",1993,"Jones, Michael J.","City of Lincoln Archaeology Unit","Annual Report of City of Lincoln Archaeology Unit","23-4","5"
00000000-0000-0000-0000-000000lhds54,54,838a206c-7975-4695-a2ae-1575b1e07984,cc039083-b667-414b-8c4b-31a613997113,"Brown, C. and Jones, M. J.","Archaeology in Lincolnshire 1987-1988: Salvage excavations at Steep Hill, 1987",78e71e70-8009-40e2-a078-9a2ebf7a0e6f,"Sleaford",1988,"Nurser, E.","Trust for Lincolnshire Archaeology","Annual Report Trust for Lincolnshire Archaeology","29","4"
