Source,Target,Type,Id,Label,Weight
ARCHES_RECORD.E31:46,ARCHES_RECORD.E31:53,Directed,ARCHES_RECORD.E31_EDGE:48,P4,1.0
ARCHES_RECORD.E31:49,ARCHES_RECORD.E31:46,Directed,ARCHES_RECORD.E31_EDGE:49,-P134,1.0
ARCHES_RECORD.E31:49,ARCHES_RECORD.E31:51,Directed,ARCHES_RECORD.E31_EDGE:50,P14,1.0
ARCHES_RECORD.E31:49,ARCHES_RECORD.E31:52,Directed,ARCHES_RECORD.E31_EDGE:51,P4,1.0
ARCHES_RECORD.E31:51,ARCHES_RECORD.E31:54,Directed,ARCHES_RECORD.E31_EDGE:52,P131,1.0
ARCHES_RECORD.E31:52,ARCHES_RECORD.E31:50,Directed,ARCHES_RECORD.E31_EDGE:53,P78,1.0
ARCHES_RECORD.E31:53,ARCHES_RECORD.E31:47,Directed,ARCHES_RECORD.E31_EDGE:54,P78,1.0
ARCHES_RECORD.E31:55,ARCHES_RECORD.E31:48,Directed,ARCHES_RECORD.E31_EDGE:55,P48,1.0
ARCHES_RECORD.E31:55,ARCHES_RECORD.E31:49,Directed,ARCHES_RECORD.E31_EDGE:56,-P94,1.0
resource_node.EXX,ARCHES_RECORD.E31:55,Directed,ARCHES_RECORD.E31_EDGE:57,-P70,1.0
